spin,intent,pure_reel_1,pure_reel_2,pure_reel_3,pure_result,category_reel_1,category_reel_2,category_reel_3,category_result,overlay,coins,score,full_content,tease
38,Full Survey,Survey,Survey,Survey,Survey mode trigger,Survey,Survey Says,Standard,Survey Says - Standard,Survey Says,0,55,True,False
39,Full Chance,Chance,Chance,Chance,Chance Card trigger,Chance,Arcade,Match & Win,Match & Win,Match & Win Card,0,0,True,False
40,Utility,Spin,Spin,Spin,+1 Spin,Reward,Spins,+1,+1 Spin,,0,0,False,False
41,Full Survey,Survey,Survey,Survey,Survey mode trigger,Survey,Keep or Pass,Double,Keep or Pass - Double,Keep or Pass,0,85,True,False
42,Full Chance,Chance,Chance,Chance,Chance Card trigger,Chance,Modifier,Double Survey,Double Survey,Double Survey Card,0,0,True,False
43,Relief,Bag,Coin,Shield,1x Bag + 1x Coin payout,Reward,Coins,25K,+25K Coins,,25000,0,False,False
44,Full Feud,Feud,Feud,Feud,Feud showdown trigger,Showdown,Survey Steal,Double,Survey Steal - Double,Survey Steal,0,80,True,False
45,Full Survey,Survey,Survey,Survey,Survey mode trigger,Survey,Sudden Death,Standard,Sudden Death - Standard,Sudden Death,0,60,True,False
46,Utility,Shield,Shield,Shield,+1 Shield,Reward,Shields,+1,+1 Shield,,0,0,False,False
47,Full Survey,Survey,Survey,Survey,Survey mode trigger,Survey,Survey Says,Triple,Survey Says - Triple,Survey Says,0,135,True,False
48,Full Chance,Chance,Chance,Chance,Chance Card trigger,Chance,Arcade,Coin Frenzy,Coin Frenzy,Coin Frenzy Card,0,0,True,False
49,Relief,Bag,Bag,Bag,3x Bag payout,Reward,Coins,100K,+100K Coins,,100000,0,False,False
50,Full Feud,Feud,Feud,Feud,Feud showdown trigger,Showdown,Bullseye,Triple,Bullseye - Triple,Bullseye,0,105,True,False
